Name,Age,Origin,Height,Weight,Category,Wins,Losses,Weapon of Choice,Equipment Quality,Injury History,Mental Resilience,Tactical Knowledge,Battle Experience,Health Status,Training Intensity,Battle Strategy,Survived
Cosconius Hostius,42,Gaul,176,54,Hoplomachus,10,2,Spear,Basic,Low,2.30962240621191,Basic,12,Good,Medium,Balanced,True
Caecilius Valerius,30,Greece,173,67,Provocator,6,0,Dagger,Superior,Low,2.609512042720492,Expert,6,Excellent,Medium,Aggressive,False
Sempronius Aulus,30,Gaul,171,81,Hoplomachus,8,4,Spear,Basic,Low,8.770731237200259,Advanced,12,Excellent,Medium,Balanced,True
Lacerius Laberius,32,Rome,172,72,Retiarius,8,3,Net,Superior,Low,1.047568348965484,Intermediate,11,Excellent,Medium,Aggressive,True
Blaesus Modius,29,Gaul,177,87,Secutor,12,5,Dagger,Standard,High,4.524768751036016,Advanced,17,Good,Medium,Balanced,True
Hortensius Gaius,23,Gaul,158,77,Murmillo,7,1,Gladius (Sword),Basic,Low,7.885910508564613,Expert,8,Excellent,Medium,Aggressive,True
Lollius Nasennius,43,Greece,168,74,Hoplomachus,7,1,Dagger,Basic,Low,3.0265507870578165,Advanced,8,Good,Low,Aggressive,True
Gaius Caninius,36,Rome,185,62,Secutor,13,8,Dagger,Superior,High,2.772185298917929,Intermediate,21,Good,Low,Balanced,True
Petreius Memmius,33,Thrace,186,50,Provocator,7,0,Dagger,Basic,Low,8.687004114830323,Advanced,7,Excellent,Medium,Aggressive,True
Numerius Sextus,32,Greece,171,56,Provocator,8,1,Gladius (Sword),Superior,Low,6.284512916343847,Advanced,9,Excellent,Medium,Defensive,True
Fulcinia Fidenas,40,Gaul,184,84,Hoplomachus,5,2,Spear,Basic,Low,6.811896225927687,Intermediate,7,Good,Medium,Balanced,True
Cominius Calventius,44,Numidia,175,72,Murmillo,10,4,Dagger,Standard,Low,1.2711444091110915,Basic,14,Good,Low,Aggressive,True
Fidenas Avidius,22,Rome,183,119,Secutor,5,1,Gladius (Sword),Standard,Low,2.095360044362891,Intermediate,6,Excellent,Medium,Balanced,True
Naevius Cornificius,23,Thrace,192,68,Murmillo,8,3,Gladius (Sword),Superior,Low,10.592005059287244,Advanced,11,Excellent,Medium,Balanced,True
Livius Duronius,43,Greece,182,94,Retiarius,10,4,Net,Superior,Low,5.0223692474180615,Basic,14,Good,Medium,Balanced,True
Aulus Afranius,33,Germania,185,108,Murmillo,5,2,Gladius (Sword),Superior,Low,3.2446275602833614,Intermediate,7,Excellent,Medium,Balanced,False
Oppius Hortensius,40,Germania,180,87,Hoplomachus,12,5,Spear,Standard,Low,7.082261605632115,Basic,17,Good,Medium,Balanced,True
Quintus Messalla,30,Gaul,178,80,Retiarius,7,1,Net,Basic,Low,1.0317334823160604,Intermediate,8,Excellent,Medium,Balanced,True
Sextus Palpellius,31,Rome,182,93,Retiarius,7,1,Net,Standard,Low,6.042532320872964,Expert,8,Excellent,Medium,Balanced,True
Fabrinius Considius,34,Germania,178,91,Secutor,13,1,Gladius (Sword),Basic,High,4.307409921869836,Basic,14,Good,Low,Aggressive,True
Maecilius Fabrinius,42,Greece,192,102,Secutor,8,0,Gladius (Sword),Basic,Low,2.9627915649268024,Basic,8,Good,Medium,Aggressive,True
Naevius Ovidius,40,Greece,178,101,Secutor,9,1,Gladius (Sword),Standard,Low,6.485995551021387,Intermediate,10,Good,Low,Balanced,True
Fundanus Tiberius,37,Greece,188,95,Murmillo,11,2,Dagger,Basic,High,5.52579339130484,Expert,13,Fair,Medium,Balanced,True
Cassius Nonius,19,Thrace,179,77,Secutor,5,0,Gladius (Sword),Basic,Low,4.60428998973167,Advanced,5,Excellent,High,Balanced,True
Burrienus Numerius,30,Greece,194,65,Hoplomachus,4,0,Spear,Superior,Low,6.339598433475727,Basic,4,Excellent,Low,Balanced,True
Lartius Albinius,28,Germania,166,110,Hoplomachus,5,0,Spear,Superior,Low,5.874782870997622,Intermediate,5,Excellent,Medium,Balanced,True
Geminius Sempronius,19,Thrace,187,110,Retiarius,5,1,Net,Superior,Low,8.57117673294694,Advanced,6,Excellent,Medium,Aggressive,True
Appius Nasidienus,18,Germania,188,68,Hoplomachus,1,0,Spear,Superior,Low,7.116339938197187,Advanced,1,Excellent,Medium,Balanced,False
Caninius Aquillius,30,Gaul,156,118,Secutor,10,4,Gladius (Sword),Basic,Low,4.14140281045649,Intermediate,14,Excellent,Medium,Balanced,True
Gabinius Hirrus,19,Gaul,184,86,Thraex,9,0,Sica (Curved Sword),Superior,High,3.87417860294857,Expert,9,Excellent,Medium,Aggressive,True
Servius Camillius,24,Greece,190,125,Secutor,8,1,Dagger,Standard,Low,5.465083035180776,Intermediate,9,Excellent,Medium,Aggressive,True
Aulus Paternus,41,Thrace,166,85,Hoplomachus,8,5,Dagger,Basic,Low,4.345886181096248,Basic,13,Good,Low,Balanced,True
Lucretius Valerius,31,Germania,178,73,Secutor,3,0,Dagger,Basic,Low,3.857212196398714,Intermediate,3,Excellent,Medium,Balanced,True
Cosconius Avidius,34,Rome,160,122,Thraex,11,1,Sica (Curved Sword),Superior,Low,5.423004019728563,Intermediate,12,Excellent,Medium,Aggressive,False
Julius Catilius,27,Numidia,166,64,Provocator,7,1,Dagger,Basic,High,2.687136571271276,Advanced,8,Good,Medium,Balanced,False
Gracchus Hirrus,33,Gaul,190,90,Thraex,10,3,Sica (Curved Sword),Basic,High,1.755433300231407,Intermediate,13,Good,Medium,Aggressive,True
Pacilius Messalla,26,Rome,183,107,Murmillo,2,0,Gladius (Sword),Basic,Low,2.3741625914614928,Advanced,2,Excellent,Medium,Aggressive,False
Considius Galerius,24,Numidia,170,63,Provocator,4,2,Dagger,Basic,Low,4.225074809091052,Advanced,6,Excellent,High,Aggressive,False
Furius Baebius,44,Thrace,186,67,Provocator,9,1,Gladius (Sword),Standard,Low,3.012309999405512,Basic,10,Good,Medium,Aggressive,True
Numonius Galerius,31,Greece,179,125,Murmillo,13,0,Dagger,Basic,High,1.099764752940248,Intermediate,13,Good,Low,Aggressive,True
Caecilius Foslius,21,Rome,174,94,Provocator,2,0,Gladius (Sword),Basic,Low,5.824727764182932,Advanced,2,Excellent,Low,Aggressive,False
Hortensius Festinius,34,Greece,168,53,Retiarius,5,0,Net,Superior,Low,5.806840422836643,Expert,5,Excellent,Medium,Defensive,True
Latinius Cocceius,40,Germania,183,90,Secutor,10,3,Gladius (Sword),Basic,High,0.915312548418388,Basic,13,Fair,Low,Balanced,True
Orchius Calpurnius,18,Greece,189,87,Retiarius,6,2,Net,Standard,Low,3.104904899374429,Advanced,8,Excellent,High,Aggressive,True
Cominius Caecilius,36,Greece,173,98,Retiarius,11,2,Net,Basic,Low,5.707204299584884,Basic,13,Excellent,Medium,Aggressive,True
Livius Lucretius,20,Rome,186,81,Thraex,8,1,Dagger,Basic,Low,3.9797313026924663,Intermediate,9,Excellent,Medium,Aggressive,True
Baebius Cornificius,42,Germania,195,77,Hoplomachus,6,0,Dagger,Superior,Low,0.9594704481602752,Basic,6,Good,Medium,Aggressive,True
Lentulus Sextius,37,Gaul,175,75,Murmillo,8,1,Dagger,Standard,Low,6.318462785733496,Basic,9,Good,Medium,Aggressive,True
Blossius Pettius,37,Germania,175,100,Retiarius,8,6,Net,Standard,Low,5.295155803541599,Basic,14,Good,Low,Balanced,True
Mescinius Memmius,19,Gaul,170,83,Secutor,5,0,Gladius (Sword),Standard,Low,6.725504002336736,Intermediate,5,Excellent,Medium,Aggressive,True
Egnatius Terentius,18,Germania,179,94,Hoplomachus,4,0,Spear,Standard,Low,6.1212589073129,Advanced,4,Excellent,Medium,Balanced,True
